title,region,region_name,region_parent_name,price,property_size,bedrooms,bathrooms,furnishing,is_boost,content_name
"Furnished 2bdrm Bungalow in Degun Estate,, Abeokuta South for sale","Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 110,000,000",300.0,2,2,Furnished,enterprise,"Furnished 2bdrm Bungalow in Degun Estate,, Abeokuta South for sale"
"3bdrm Duplex in Peace Estate, Ipaja Road for sale","Ipaja, Ipaja Road",Ipaja Road,Ipaja,"₦ 150,000,000",450.0,3,3,Unfurnished,enterprise,"3bdrm Duplex in Peace Estate, Ipaja Road for sale"
"Furnished 7bdrm Duplex in Gowon Estate,, Egbeda for sale","Alimosho, Egbeda",Egbeda,Alimosho,"₦ 400,000,000",500.0,7,7,Furnished,enterprise,"Furnished 7bdrm Duplex in Gowon Estate,, Egbeda for sale"
"4bdrm Duplex in Nothern Foreshore, Lekki Phase 2 for sale","Lekki, Lekki Phase 2",Lekki Phase 2,Lekki,"₦ 700,000,000",600.0,4,4,Unfurnished,enterprise,"4bdrm Duplex in Nothern Foreshore, Lekki Phase 2 for sale"
7bdrm Villa in Champlin Court for sale,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Ajah,"₦ 650,000,000",600.0,7,7,Unfurnished,False,7bdrm Villa in Champlin Court for sale
"5bdrm Duplex in Megamound Estate, Ikota for sale","Lekki, Ikota",Ikota,Lekki,"₦ 480,000,000",500.0,5,5,Unfurnished,False,"5bdrm Duplex in Megamound Estate, Ikota for sale"
5bdrm Duplex in Ikeja Gra for sale,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,"₦ 950,000,000",500.0,5,5,Semi-Furnished,enterprise,5bdrm Duplex in Ikeja Gra for sale
"9bdrm Block of Flats in Riverbank Estate,, Iseri for sale","Ogun State, Iseri",Iseri,Ogun State,"₦ 200,000,000",874.0,9,9,Unfurnished,enterprise,"9bdrm Block of Flats in Riverbank Estate,, Iseri for sale"
"12bdrm Block of Flats in Abiola Farm Estate, Ayobo for sale","Ipaja, Ayobo",Ayobo,Ipaja,"₦ 130,000,000",600.0,12,12,Unfurnished,enterprise,"12bdrm Block of Flats in Abiola Farm Estate, Ayobo for sale"
6bdrm Duplex in Omole Phase 1 for sale,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,"₦ 700,000,000",600.0,6,6,Unfurnished,enterprise,6bdrm Duplex in Omole Phase 1 for sale
5bdrm Duplex in Chevron Lekki for sale,"Lekki, Chevron",Chevron,Lekki,"₦ 400,000,000",500.0,5,5,Semi-Furnished,enterprise,5bdrm Duplex in Chevron Lekki for sale
5bdrm Duplex in Omole Phase 1 for sale,"Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,"₦ 750,000,000",400.0,5,5,Semi-Furnished,enterprise,5bdrm Duplex in Omole Phase 1 for sale
2bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 120,000,000",450.0,2,2,Unfurnished,diamond,2bdrm Block of Flats in Benin City for sale
3bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 40,000,000",450.0,3,3,Unfurnished,diamond,3bdrm Block of Flats in Benin City for sale
"Furnished 3bdrm Duplex in Obansanjo Estate, Abeokuta South for sale","Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 150,000,000",500.0,3,3,Furnished,enterprise,"Furnished 3bdrm Duplex in Obansanjo Estate, Abeokuta South for sale"
5bdrm Duplex in Magodo Gra for sale,"Magodo, GRA Phase 1",GRA Phase 1,Magodo,"₦ 280,000,000",500.0,5,5,Unfurnished,enterprise,5bdrm Duplex in Magodo Gra for sale
"2bdrm Apartment in A Secured Close, Ologolo for sale","Lekki, Ologolo",Ologolo,Lekki,"₦ 150,000,000",50.0,2,2,Unfurnished,False,"2bdrm Apartment in A Secured Close, Ologolo for sale"
2bdrm Block of Flats in Fagba Ifako Ijaiye for sale,"Agege, Fagba",Fagba,Agege,"₦ 250,000,000",450.0,2,2,Semi-Furnished,enterprise,2bdrm Block of Flats in Fagba Ifako Ijaiye for sale
3bdrm Bungalow in Behind Osinbajo Rail for sale,"Ogun State, Ifo",Ifo,Ogun State,"₦ 20,000,000",320.0,3,3,Semi-Furnished,enterprise,3bdrm Bungalow in Behind Osinbajo Rail for sale
"5bdrm Duplex in Osoba Hilltop Gra,, Abeokuta South for sale","Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 250,000,000",648.0,5,5,Unfurnished,enterprise,"5bdrm Duplex in Osoba Hilltop Gra,, Abeokuta South for sale"
"3bdrm Bungalow in Diamond Estate, Idimu for sale","Egbe/Idimu, Idimu",Idimu,Egbe/Idimu,"₦ 120,000,000",600.0,3,3,Unfurnished,enterprise,"3bdrm Bungalow in Diamond Estate, Idimu for sale"
"2bdrm Apartment in Ikoyi, Awolowo Road for sale","Ikoyi, Awolowo Road",Awolowo Road,Ikoyi,"₦ 270,000,000",130.0,2,2,Semi-Furnished,enterprise,"2bdrm Apartment in Ikoyi, Awolowo Road for sale"
3bdrm Block of Flats in Egbeda Alimosho for sale,"Alimosho, Egbeda",Egbeda,Alimosho,"₦ 200,000,000",600.0,3,3,Semi-Furnished,enterprise,3bdrm Block of Flats in Egbeda Alimosho for sale
Furnished 5bdrm Duplex in Ayobo for sale,"Ipaja, Ayobo",Ayobo,Ipaja,"₦ 150,000,000",300.0,5,5,Furnished,diamond,Furnished 5bdrm Duplex in Ayobo for sale
Furnished 5bdrm Bungalow in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 90,000,000",100.0,5,5,Furnished,diamond,Furnished 5bdrm Bungalow in Benin City for sale
20bdrm Mansion in Baruwa for sale,"Ipaja, Baruwa",Baruwa,Ipaja,"₦ 500,000,000",900.0,20,20,Unfurnished,enterprise,20bdrm Mansion in Baruwa for sale
4bdrm Block of Flats in Ijegun for sale,"Ikotun/Igando, Ijegun",Ijegun,Ikotun/Igando,"₦ 110,000,000",600.0,4,4,Unfurnished,enterprise,4bdrm Block of Flats in Ijegun for sale
"Furnished 4bdrm House in Ajiboye Street, Ayetoro for sale","Ogun State, Ayetoro",Ayetoro,Ogun State,"₦ 32,000,000",1200.0,4,3,Furnished,False,"Furnished 4bdrm House in Ajiboye Street, Ayetoro for sale"
3bdrm Block of Flats in New Oko Oba Ifako for sale,"Agege, New Oko Oba",New Oko Oba,Agege,"₦ 180,000,000",1000.0,3,3,Unfurnished,enterprise,3bdrm Block of Flats in New Oko Oba Ifako for sale
6bdrm Duplex in Fagba Ifako Ijaiye for sale,"Agege, Fagba",Fagba,Agege,"₦ 200,000,000",320.0,6,6,Semi-Furnished,enterprise,6bdrm Duplex in Fagba Ifako Ijaiye for sale
2bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 40,000,000",450.0,2,2,Unfurnished,diamond,2bdrm Block of Flats in Benin City for sale
7bdrm House in Magbon. Abeokuta for sale,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 45,000,000",600.0,7,7,Unfurnished,enterprise,7bdrm House in Magbon. Abeokuta for sale
"Mini Flat in Harmony Estate, Ogudu GRA for sale","Ogudu, Ogudu GRA",Ogudu GRA,Ogudu,"₦ 85,000,000",600.0,4,4,Unfurnished,enterprise,"Mini Flat in Harmony Estate, Ogudu GRA for sale"
6bdrm Duplex in Omole Phase 2 for sale,"Ikeja, Omole Phase 2",Omole Phase 2,Ikeja,"₦ 700,000,000",500.0,6,6,Unfurnished,enterprise,6bdrm Duplex in Omole Phase 2 for sale
Furnished 7bdrm Duplex in Ikeja-Gra for sale,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,"₦ 25,000,000,000",650.0,7,7,Furnished,enterprise,Furnished 7bdrm Duplex in Ikeja-Gra for sale
4bdrm Maisonette in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,"₦ 900,000,000",250.0,4,4,Unfurnished,False,4bdrm Maisonette in Lekki Phase 1 for sale
2bdrm House in New Oko Oba Ifako for sale,"Agege, New Oko Oba",New Oko Oba,Agege,"₦ 70,000,000",250.0,2,2,Semi-Furnished,enterprise,2bdrm House in New Oko Oba Ifako for sale
"Furnished 2bdrm Bungalow in Prince Court Estate, Abeokuta South","Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 35,000,000",500.0,2,3,Furnished,enterprise,"Furnished 2bdrm Bungalow in Prince Court Estate, Abeokuta South"
3bdrm Apartment in Ikeja GRA for sale,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,"₦ 400,000,000",300.0,3,4,Unfurnished,enterprise,3bdrm Apartment in Ikeja GRA for sale
8bdrm Duplex in Ikeja Gra for sale,"Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,"₦ 4,500,000,000",1400.0,8,8,Semi-Furnished,enterprise,8bdrm Duplex in Ikeja Gra for sale
3bdrm Block of Flats in Allen for sale,"Ikeja, Allen Avenue",Allen Avenue,Ikeja,"₦ 380,000,000",600.0,3,3,Unfurnished,enterprise,3bdrm Block of Flats in Allen for sale
5bdrm Duplex in Abeokuta South for sale,"Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 180,000,000",600.0,5,5,Unfurnished,enterprise,5bdrm Duplex in Abeokuta South for sale
6bdrm Duplex in Allen Avenue for sale,"Ikeja, Allen Avenue",Allen Avenue,Ikeja,"₦ 550,000,000",817.0,6,6,Unfurnished,False,6bdrm Duplex in Allen Avenue for sale
3bdrm Apartment in Ologolo for sale,"Lekki, Ologolo",Ologolo,Lekki,"₦ 120,000,000",500.0,3,3,Unfurnished,enterprise,3bdrm Apartment in Ologolo for sale
"4bdrm Duplex in Royal Castle Estate, Cement for sale","Agege, Cement",Cement,Agege,"₦ 300,000,000",300.0,4,5,Unfurnished,enterprise,"4bdrm Duplex in Royal Castle Estate, Cement for sale"
4bdrm Duplex in Lekki Phase 1 for sale,"Lekki, Lekki Phase 1",Lekki Phase 1,Lekki,"₦ 470,000,000",600.0,4,4,Unfurnished,enterprise,4bdrm Duplex in Lekki Phase 1 for sale
2bdrm Maisonette in Ologolo for sale,"Lekki, Ologolo",Ologolo,Lekki,"₦ 100,000,000",100.0,2,2,Unfurnished,False,2bdrm Maisonette in Ologolo for sale
"5bdrm Maisonette in An Access Code, Victoria Island for sale","Lagos State, Victoria Island",Victoria Island,Lagos State,"₦ 500,000,000",200.0,5,5,Unfurnished,False,"5bdrm Maisonette in An Access Code, Victoria Island for sale"
5bdrm Duplex in Adeniyi Jones Ikeja for sale,"Ikeja, Adeniyi Jones",Adeniyi Jones,Ikeja,"₦ 450,000,000",400.0,5,5,Semi-Furnished,enterprise,5bdrm Duplex in Adeniyi Jones Ikeja for sale
4bdrm Duplex in Medina Estate for sale,"Lagos State, Gbagada",Gbagada,Lagos State,"₦ 450,000,000",400.0,4,4,Semi-Furnished,enterprise,4bdrm Duplex in Medina Estate for sale
5bdrm Duplex in Chevron Lekki for sale,"Lekki, Chevron",Chevron,Lekki,"₦ 350,000,000",400.0,5,5,Semi-Furnished,enterprise,5bdrm Duplex in Chevron Lekki for sale
Furnished 4bdrm Duplex in Ayobo for sale,"Ipaja, Ayobo",Ayobo,Ipaja,"₦ 150,000,000",300.0,4,5,Furnished,diamond,Furnished 4bdrm Duplex in Ayobo for sale
"Furnished 4bdrm Duplex in President Muhammed, Abeokuta South for sale","Ogun State, Abeokuta South",Abeokuta South,Ogun State,"₦ 165,000,000",500.0,4,5,Furnished,enterprise,"Furnished 4bdrm Duplex in President Muhammed, Abeokuta South for sale"
3bdrm Block of Flats in Baruwa Ipaja for sale,"Ipaja, Ipaja Road",Ipaja Road,Ipaja,"₦ 110,000,000",775.0,3,3,Unfurnished,enterprise,3bdrm Block of Flats in Baruwa Ipaja for sale
Furnished 2bdrm Block of Flats in Abule Egba for sale,"Lagos State, Abule Egba",Abule Egba,Lagos State,"₦ 450,000,000",700.0,2,3,Furnished,diamond,Furnished 2bdrm Block of Flats in Abule Egba for sale
3bdrm House in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 140,000,000",5000.0,3,3,Unfurnished,diamond,3bdrm House in Benin City for sale
2bdrm Block of Flats in Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 19,000,000",450.0,2,2,Unfurnished,diamond,2bdrm Block of Flats in Benin City for sale
