title,region,region_name,region_parent_name,price,property_size,bedrooms,bathrooms,furnishing,is_boost
4bdrm Duplex in Chevron Lekki for sale,"Lekki, Chevron",Chevron,Lekki,"₦ 230,000,000",312.0,4,6,Unfurnished,vip
"4bdrm Duplex in Sunshine Garden, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,Ajah,"₦ 210,000,000",300.0,4,5,Unfurnished,False
3bdrm Bungalow in Dakwo District for sale,"Abuja (FCT), Dakwo District",Dakwo District,Abuja (FCT),"₦ 120,000,000",500.0,3,3,Unfurnished,vip_gold
5bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lekki,"₦ 600,000,000",460.0,5,5,Unfurnished,diamond
"3bdrm Duplex in Estate, Ipaja / Ipaja for sale","Ipaja, Ipaja / Ipaja",Ipaja / Ipaja,Ipaja,"₦ 150,000,000",280.0,3,3,Semi-Furnished,enterprise
"4bdrm Duplex in Estate, Obafemi-Owode for sale","Ogun State, Obafemi-Owode",Obafemi-Owode,Ogun State,"₦ 185,000,000",500.0,4,4,Semi-Furnished,enterprise
"5bdrm Duplex in Secured Estate, Magodo Isheri for sale","Ojodu, Magodo Isheri",Magodo Isheri,Ojodu,"₦ 430,000,000",220.0,5,5,Semi-Furnished,enterprise
"5bdrm Duplex in Secured Area, Ifako-Ogba for sale","Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,"₦ 380,000,000",300.0,5,5,Semi-Furnished,enterprise
"4bdrm Duplex in Estate, Magodo for sale","Lagos State, Magodo",Magodo,Lagos State,"₦ 560,000,000",290.0,4,4,Semi-Furnished,enterprise
"2bdrm Duplex in Secured Area, Abule Egba for sale","Lagos State, Abule Egba",Abule Egba,Lagos State,"₦ 140,000,000",300.0,2,2,Semi-Furnished,enterprise
"3bdrm Duplex in Secured Estate, Fagba for sale","Agege, Fagba",Fagba,Agege,"₦ 175,000,000",180.0,3,3,Semi-Furnished,enterprise
"4bdrm Duplex in Secured Area, Ifako-Ogba for sale","Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,"₦ 240,000,000",250.0,4,4,Semi-Furnished,enterprise
"5bdrm Duplex in Secured Estate, Omole Phase 1 for sale","Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,"₦ 650,000,000",300.0,5,5,Semi-Furnished,enterprise
3bdrm Bungalow in Wumba for sale,"Abuja (FCT), Wumba",Wumba,Abuja (FCT),"₦ 75,000,000",,3,4,Semi-Furnished,enterprise
"5bdrm House in Max Court Estate, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,Ajah,"₦ 160,000,000",1000.0,5,5,Unfurnished,diamond
3bdrm Block of Flats in Wuye for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),"₦ 650,000,000",1000.0,3,3,Semi-Furnished,vip_gold
Furnished 4bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),"₦ 600,000,000",1000.0,4,4,Furnished,vip_gold
3bdrm Block of Flats in Area 1 for sale,"Garki 1, Area 1",Area 1,Garki 1,"₦ 750,000,000",1000.0,3,3,Semi-Furnished,vip_gold
3bdrm Block of Flats in Apo Abuja for sale,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),"₦ 850,000,000",2500.0,3,3,Unfurnished,vip_gold
3bdrm Block of Flats in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),"₦ 250,000,000",1000.0,3,7,Semi-Furnished,vip_gold
"4bdrm Duplex in Games Village, Kaura for sale","Abuja (FCT), Kaura",Kaura,Abuja (FCT),"₦ 1,300,000,000",1500.0,4,4,Semi-Furnished,vip_gold
7bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),"₦ 8,000,000,000",1500.0,7,7,Semi-Furnished,vip_gold
6bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),"₦ 3,500,000,000",1500.0,6,6,Semi-Furnished,vip_gold
5bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),"₦ 3,400,000,000",1300.0,5,5,Semi-Furnished,vip_gold
4bdrm Duplex in Gwarinpa Abuja for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),"₦ 170,000,000",1000.0,4,4,Semi-Furnished,vip_gold
"5bdrm Duplex in Estate, Ikeja GRA for sale","Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,"₦ 1,100,000,000",350.0,5,5,Semi-Furnished,enterprise
4bdrm Duplex in Jahi Glimore Abuja for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),"₦ 250,000,000",1000.0,4,4,Semi-Furnished,vip_gold
6bdrm Duplex in Mabushi Abuja for sale,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),"₦ 650,000,000",1000.0,6,6,Semi-Furnished,vip_gold
5bdrm Duplex in Katampe Extension for sale,"Katampe, Katampe Extension",Katampe Extension,Katampe,"₦ 650,000,000",600.0,5,5,Semi-Furnished,vip_gold
Furnished 5bdrm Duplex in Mabushi Abuja for sale,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),"₦ 480,000,000",1000.0,5,5,Furnished,vip_gold
3bdrm Apartment in Wuse Zone Abuja for sale,"Abuja (FCT), Wuse",Wuse,Abuja (FCT),"₦ 800,000,000",1000.0,3,3,Semi-Furnished,vip_gold
4bdrm Duplex in Lugbe Abuja for sale,"Abuja (FCT), Lugbe District",Lugbe District,Abuja (FCT),"₦ 250,000,000",500.0,4,4,Semi-Furnished,vip_gold
"Functional 5bedrm Duplex,Secured Estate in Guzape for Sale","Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),"₦ 350,000,000",,5,5,Semi-Furnished,enterprise
4bdrm Duplex in Jabi Abuja for sale,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),"₦ 300,000,000",500.0,4,4,Semi-Furnished,vip_gold
5bdrm Duplex in Asokoro Abuja for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),"₦ 7,000,000,000",2000.0,5,5,Semi-Furnished,vip_gold
4bdrm Duplex in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),"₦ 1,000,000,000",1500.0,4,4,Semi-Furnished,vip_gold
5bdrm Duplex in Gudu Abuja for sale,"Abuja (FCT), Gudu",Gudu,Abuja (FCT),"₦ 380,000,000",1000.0,5,5,Semi-Furnished,vip_gold
6bdrm Duplex in Asokoro Main for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),"₦ 1,300,000,000",1100.0,6,6,Semi-Furnished,vip_gold
5bdrm Duplex in Guzape Main for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),"₦ 500,000,000",1000.0,5,5,Semi-Furnished,vip_gold
5bdrm Duplex in Utako Main for sale,"Abuja (FCT), Utako",Utako,Abuja (FCT),"₦ 1,300,000,000",2460.0,5,5,Semi-Furnished,vip_gold
4bdrm Duplex in Kado Abuja for sale,"Abuja (FCT), Kado",Kado,Abuja (FCT),"₦ 250,000,000",500.0,4,4,Semi-Furnished,vip_gold
2bdrm Duplex in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),"₦ 700,000,000",1000.0,2,2,Semi-Furnished,vip_gold
3bdrm Apartment in Amagba Benin City for sale,"Edo State, Benin City",Benin City,Edo State,"₦ 65,000,000",1000.0,3,3,Semi-Furnished,vip_gold
4bdrm Duplex in Gwarinpa Abuja for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),"₦ 500,000,000",500.0,4,4,Semi-Furnished,vip_gold
5bdrm Duplex in Wuye Abuja for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),"₦ 620,000,000",1000.0,5,5,Semi-Furnished,vip_gold
"9bdrm Duplex in Games Village, Kaura for sale","Abuja (FCT), Kaura",Kaura,Abuja (FCT),"₦ 650,000,000",1000.0,9,9,Semi-Furnished,vip_gold
"5bdrm Duplex in Estate, Chevron for sale","Lekki, Chevron",Chevron,Lekki,"₦ 650,000,000",400.0,5,5,Semi-Furnished,enterprise
Furnished 2bdrm Apartment in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),"₦ 12,000,000,000",1700.0,2,2,Furnished,vip_gold
7bdrm Duplex in Golf Annex Enugu for sale,"Enugu State, Enugu",Enugu,Enugu State,"₦ 260,000,000",700.0,7,7,Semi-Furnished,diamond
3bdrm Block of Flats in Wuse2 Abuja for sale,"Abuja (FCT), Wuse 2",Wuse 2,Abuja (FCT),"₦ 1,300,000,000",1000.0,3,3,Semi-Furnished,vip_gold
3bdrm Apartment in Wuse2 Abuja for sale,"Abuja (FCT), Wuse 2",Wuse 2,Abuja (FCT),"₦ 2,000,000,000",1300.0,3,3,Semi-Furnished,vip_gold
4bdrm Duplex in Idu District Abuja for sale,"Abuja (FCT), Idu Industrial",Idu Industrial,Abuja (FCT),"₦ 15,000,000,000",4000.0,4,4,Semi-Furnished,vip_gold
4bdrm Duplex in Katampe Extension for sale,"Abuja (FCT), Katampe",Katampe,Abuja (FCT),"₦ 400,000,000",1000.0,4,4,Semi-Furnished,vip_gold
9bdrm Duplex in Asokoro Main for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),"₦ 9,000,000,000",5000.0,9,9,Semi-Furnished,vip_gold
7bdrm Apartment in Asokoro Abuja for sale,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),"₦ 8,000,000,000",5000.0,7,7,Semi-Furnished,vip_gold
5bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),"₦ 1,000,000,000",500.0,5,5,Semi-Furnished,vip_gold
"4bdrm Duplex in Estate, Oko-Oba for sale","Agege, Oko-Oba",Oko-Oba,Agege,"₦ 380,000,000",300.0,4,4,Semi-Furnished,enterprise
5bdrm Duplex in Jahi Abuja for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),"₦ 270,000,000",500.0,5,5,Semi-Furnished,vip_gold
4bdrm Duplex in Apo Abuja for sale,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),"₦ 230,000,000",500.0,4,4,Semi-Furnished,vip_gold
4bdrm Duplex in Dape for sale,"Gwarinpa, Dape",Dape,Gwarinpa,"₦ 460,000,000",920.0,4,5,Unfurnished,enterprise
4bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),"₦ 550,000,000",1000.0,4,4,Semi-Furnished,vip_gold
"Furnished 6bdrm Mansion in Osborne Phrase 1, Ikoyi for sale","Lagos State, Ikoyi",Ikoyi,Lagos State,"₦ 8,500,000,000",3600.0,6,6,Furnished,vip_gold
Furnished 5bdrm Mansion in Banana Island Lagos for sale,"Ikoyi, Banana Island",Banana Island,Ikoyi,"₦ 13,000,000,000",1500.0,5,5,Furnished,vip_gold
Furnished 7bdrm Mansion in Banana Island Lagos for sale,"Ikoyi, Banana Island",Banana Island,Ikoyi,"₦ 25,500,000,000",5000.0,7,7,Furnished,vip_gold
4bdrm Duplex in Wuse2 Abuja for sale,"Abuja (FCT), Wuse 2",Wuse 2,Abuja (FCT),"₦ 450,000,000",1000.0,4,4,Semi-Furnished,vip_gold
4bdrm Duplex in Galadimawa District for sale,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),"₦ 750,000,000",1000.0,4,4,Semi-Furnished,vip_gold
