Title,region,Region Name,region_parent_name,Price,Property Size,Bedrooms,Bathrooms,Furnishing,Is Boosted,House Type,Region Parent Name
4bdrm Duplex in Chevron Lekki for sale,"Lekki, Chevron",Chevron,Lekki,230000000.0,312.0,4,6,Unfurnished,vip,Duplex,Lagos Island
"4bdrm Duplex in Sunshine Garden, Sangotedo for sale","Ajah, Sangotedo",Sangotedo,Ajah,210000000.0,300.0,4,5,Unfurnished,False,Duplex,Lagos Island
3bdrm Bungalow in Dakwo District for sale,"Abuja (FCT), Dakwo District",Dakwo District,Abuja (FCT),120000000.0,500.0,3,3,Unfurnished,vip_gold,Bungalow,Abuja (FCT)
5bdrm Duplex in Chevron for sale,"Lekki, Chevron",Chevron,Lekki,600000000.0,460.0,5,5,Unfurnished,diamond,Duplex,Lagos Island
"3bdrm Duplex in Estate, Ipaja / Ipaja for sale","Ipaja, Ipaja / Ipaja",Ipaja / Ipaja,Ipaja,150000000.0,280.0,3,3,Semi-Furnished,enterprise,Duplex,Lagos Mainland
"4bdrm Duplex in Estate, Obafemi-Owode for sale","Ogun State, Obafemi-Owode",Obafemi-Owode,Ogun State,185000000.0,500.0,4,4,Semi-Furnished,enterprise,Duplex,Ogun State
"5bdrm Duplex in Secured Estate, Magodo Isheri for sale","Ojodu, Magodo Isheri",Magodo Isheri,Ojodu,430000000.0,220.0,5,5,Semi-Furnished,enterprise,Duplex,Lagos Mainland
"5bdrm Duplex in Secured Area, Ifako-Ogba for sale","Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,380000000.0,300.0,5,5,Semi-Furnished,enterprise,Duplex,Lagos Mainland
"4bdrm Duplex in Estate, Magodo for sale","Lagos State, Magodo",Magodo,Lagos State,560000000.0,290.0,4,4,Semi-Furnished,enterprise,Duplex,Lagos Mainland
"2bdrm Duplex in Secured Area, Abule Egba for sale","Lagos State, Abule Egba",Abule Egba,Lagos State,140000000.0,300.0,2,2,Semi-Furnished,enterprise,Duplex,Lagos Mainland
"3bdrm Duplex in Secured Estate, Fagba for sale","Agege, Fagba",Fagba,Agege,175000000.0,180.0,3,3,Semi-Furnished,enterprise,Duplex,Lagos Mainland
"4bdrm Duplex in Secured Area, Ifako-Ogba for sale","Ogba, Ifako-Ogba",Ifako-Ogba,Ogba,240000000.0,250.0,4,4,Semi-Furnished,enterprise,Duplex,Lagos Mainland
"5bdrm Duplex in Secured Estate, Omole Phase 1 for sale","Ikeja, Omole Phase 1",Omole Phase 1,Ikeja,650000000.0,300.0,5,5,Semi-Furnished,enterprise,Duplex,Lagos Mainland
3bdrm Bungalow in Wumba for sale,"Abuja (FCT), Wumba",Wumba,Abuja (FCT),75000000.0,,3,4,Semi-Furnished,enterprise,Bungalow,Abuja (FCT)
"5bdrm House in Max Court Estate, Ado / Ajah for sale","Ajah, Ado / Ajah",Ado / Ajah,Ajah,160000000.0,1000.0,5,5,Unfurnished,diamond,House,Lagos Island
3bdrm Block of Flats in Wuye for sale,"Abuja (FCT), Wuye",Wuye,Abuja (FCT),650000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Block Of Flats,Abuja (FCT)
Furnished 4bdrm Duplex in Maitama Abuja for sale,"Abuja (FCT), Maitama",Maitama,Abuja (FCT),600000000.0,1000.0,4,4,Furnished,vip_gold,Duplex,Abuja (FCT)
3bdrm Block of Flats in Area 1 for sale,"Garki 1, Area 1",Area 1,Garki 1,750000000.0,1000.0,3,3,Semi-Furnished,vip_gold,Block Of Flats,Abuja (FCT)
3bdrm Block of Flats in Apo Abuja for sale,"Abuja (FCT), Apo District",Apo District,Abuja (FCT),850000000.0,2500.0,3,3,Unfurnished,vip_gold,Block Of Flats,Abuja (FCT)
3bdrm Block of Flats in Guzape District for sale,"Abuja (FCT), Guzape District",Guzape District,Abuja (FCT),250000000.0,1000.0,3,7,Semi-Furnished,vip_gold,Block Of Flats,Abuja (FCT)
"4bdrm Duplex in Games Village, Kaura for sale","Abuja (FCT), Kaura",Kaura,Abuja (FCT),1300000000.0,1500.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
4bdrm Duplex in Gwarinpa Abuja for sale,"Abuja (FCT), Gwarinpa",Gwarinpa,Abuja (FCT),170000000.0,1000.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
"5bdrm Duplex in Estate, Ikeja GRA for sale","Ikeja, Ikeja GRA",Ikeja GRA,Ikeja,1100000000.0,350.0,5,5,Semi-Furnished,enterprise,Duplex,Lagos Mainland
4bdrm Duplex in Jahi Glimore Abuja for sale,"Abuja (FCT), Jahi",Jahi,Abuja (FCT),250000000.0,1000.0,4,4,Semi-Furnished,vip_gold,Duplex,Abuja (FCT)
